ID	FORM	LEMMA	CPOS	POS	FEATS	HEAD	DEPREL	PHEAD	PDEPREL	ID_TOKEN_NELL_INTERVENTO	CUE	SCOPE
# legislatura="18" numero="4" anno="2018" mese="04" giorno="10" ramo="camera"												
# INTERVENTO NUMERO 0												
# id="tit00000.int00010" cognomeNome="FICO Roberto" nominativo="PRESIDENTE"												
# sent_id = 1												
# text = La seduta è aperta.												
1	La	_	_	_	_	2	det	_	_	1	O	_
2	seduta	_	_	_	_	4	nsubj	_	_	2	O	_
3	è	_	_	_	_	4	cop	_	_	3	O	_
4	aperta	_	_	_	_	0	root	_	_	4	O	_
5	.	_	_	_	_	4	punct	_	_	5	O	_
# sent_id = 2												
# text = Invito la deputata segretaria a dare lettura del processo verbale della seduta precedente.												
1	Invito	_	_	_	_	0	root	_	_	6	O	_
2	la	_	_	_	_	4	det	_	_	7	O	_
3	deputata	_	_	_	_	4	amod	_	_	8	O	_
4	segretaria	_	_	_	_	1	obj	_	_	9	O	_
5	a	_	_	_	_	6	mark	_	_	10	O	_
6	dare	_	_	_	_	1	xcomp	_	_	11	O	_
7	lettura	_	_	_	_	6	obj	_	_	12	O	_
8-9	del	_	_	_	_	_	_	_	_	_	_	_
8	di	_	_	_	_	10	case	_	_	13	O	_
9	il	_	_	_	_	10	det	_	_	14	O	_
10	processo	_	_	_	_	7	nmod	_	_	15	O	_
11	verbale	_	_	_	_	10	amod	_	_	16	O	_
12-13	della	_	_	_	_	_	_	_	_	_	_	_
12	di	_	_	_	_	14	case	_	_	17	O	_
13	la	_	_	_	_	14	det	_	_	18	O	_
14	seduta	_	_	_	_	10	nmod	_	_	19	O	_
15	precedente	_	_	_	_	14	amod	_	_	20	O	_
16	.	_	_	_	_	1	punct	_	_	21	O	_
# INTERVENTO NUMERO 1												
# id="tit00000.int00020" cognomeNome="CANCELLERI Azzurra Pia Maria"												
# sent_id = 1												
# text = Segretaria, legge il processo verbale della seduta del 3 aprile 2018.												
1	Segretaria	_	_	_	_	3	nsubj	_	_	1	DESCR.	DESCR.
2	,	_	_	_	_	1	punct	_	_	2	DESCR.	DESCR.
3	legge	_	_	_	_	0	root	_	_	3	DESCR.	DESCR.
4	il	_	_	_	_	5	det	_	_	4	DESCR.	DESCR.
5	processo	_	_	_	_	3	obj	_	_	5	DESCR.	DESCR.
6	verbale	_	_	_	_	5	amod	_	_	6	DESCR.	DESCR.
7-8	della	_	_	_	_	_	_	_	_	_	_	_
7	di	_	_	_	_	9	case	_	_	7	DESCR.	DESCR.
8	la	_	_	_	_	9	det	_	_	8	DESCR.	DESCR.
9	seduta	_	_	_	_	5	nmod	_	_	9	DESCR.	DESCR.
10-11	del	_	_	_	_	_	_	_	_	_	_	_
10	di	_	_	_	_	12	case	_	_	10	DESCR.	DESCR.
11	il	_	_	_	_	12	det	_	_	11	DESCR.	DESCR.
12	3	_	_	_	_	9	nmod	_	_	12	DESCR.	DESCR.
13	aprile	_	_	_	_	12	flat	_	_	13	DESCR.	DESCR.
14	2018	_	_	_	_	12	flat	_	_	14	DESCR.	DESCR.
15	.	_	_	_	_	3	punct	_	_	15	DESCR.	DESCR.
# INTERVENTO NUMERO 2												
# id="tit00000.int00030" cognomeNome="FICO Roberto" nominativo="PRESIDENTE"												
# sent_id = 1												
# text = Se non vi sono osservazioni, il processo verbale si intende approvato.												
1	Se	_	_	_	_	4	mark	_	_	1	O	_
2	non	_	_	_	_	4	advmod	_	_	2	BN	_
3	vi	_	_	_	_	4	expl	_	_	3	O	2
4	sono	_	_	_	_	11	advcl	_	_	4	O	2
5	osservazioni	_	_	_	_	4	nsubj	_	_	5	O	2
6	,	_	_	_	_	4	punct	_	_	6	O	_
7	il	_	_	_	_	8	det	_	_	7	O	_
8	processo	_	_	_	_	11	nsubj:pass	_	_	8	O	_
9	verbale	_	_	_	_	8	amod	_	_	9	O	_
10	si	_	_	_	_	11	expl:pass	_	_	10	O	_
11	intende	_	_	_	_	0	root	_	_	11	O	_
12	approvato	_	_	_	_	11	xcomp	_	_	12	O	_
13	.	_	_	_	_	11	punct	_	_	13	O	_
# sent_id = 2												
# text = (È approvato).												
1	(	_	_	_	_	3	punct	_	_	14	DESCR.	DESCR.
2	È	_	_	_	_	3	aux:pass	_	_	15	DESCR.	DESCR.
3	approvato	_	_	_	_	0	root	_	_	16	DESCR.	DESCR.
4	)	_	_	_	_	3	punct	_	_	17	DESCR.	DESCR.
5	.	_	_	_	_	3	punct	_	_	18	DESCR.	DESCR.
# Titolo per i prossimi 1 interventi: Missioni.												
# INTERVENTO NUMERO 3												
# id="tit00010.int00010" cognomeNome="FICO Roberto" nominativo="PRESIDENTE"												
# sent_id = 1												
# text = Comunico che, ai sensi dell'articolo 46, comma 2, del Regolamento, i deputati Boschi, Cirielli, De Menech, De Micheli, Gregorio Fontana, Franceschini, Gentiloni Silveri, Giacomelli, Lotti, Orlando e Pizzetti sono in missione a decorrere dalla seduta odierna.												
1	Comunico	_	_	_	_	0	root	_	_	1	O	_
2	che	_	_	_	_	48	mark	_	_	2	O	_
3	,	_	_	_	_	48	punct	_	_	3	O	_
3-4	ai	_	_	_	_	_	_	_	_	_	_	_
4	a	_	_	_	_	6	case	_	_	4	O	_
5	i	_	_	_	_	6	det	_	_	5	O	_
6	sensi	_	_	_	_	48	obl	_	_	6	O	_
7-8	dell'	_	_	_	_	_	_	_	_	_	_	_
7	di	_	_	_	_	9	case	_	_	7	O	_
8	l'	_	_	_	_	9	det	_	_	8	O	_
9	articolo	_	_	_	_	6	nmod	_	_	9	O	_
10	46	_	_	_	_	9	nummod	_	_	10	O	_
11	,	_	_	_	_	9	punct	_	_	11	O	_
12	comma	_	_	_	_	9	nmod	_	_	12	O	_
13	2	_	_	_	_	12	nummod	_	_	13	O	_
14	,	_	_	_	_	9	punct	_	_	14	O	_
15-16	del	_	_	_	_	_	_	_	_	_	_	_
15	di	_	_	_	_	17	case	_	_	15	O	_
16	il	_	_	_	_	17	det	_	_	16	O	_
17	Regolamento	_	_	_	_	9	nmod	_	_	17	O	_
18	,	_	_	_	_	6	punct	_	_	18	O	_
19	i	_	_	_	_	20	det	_	_	19	O	_
20	deputati	_	_	_	_	48	nsubj	_	_	20	O	_
21	Boschi	_	_	_	_	20	nmod	_	_	21	O	_
22	,	_	_	_	_	23	punct	_	_	22	O	_
23	Cirielli	_	_	_	_	21	conj	_	_	23	O	_
24	,	_	_	_	_	25	punct	_	_	24	O	_
25	De	_	_	_	_	21	conj	_	_	25	O	_
26	Menech	_	_	_	_	25	flat:name	_	_	26	O	_
27	,	_	_	_	_	28	punct	_	_	27	O	_
28	De	_	_	_	_	21	conj	_	_	28	O	_
29	Micheli	_	_	_	_	28	flat:name	_	_	29	O	_
30	,	_	_	_	_	31	punct	_	_	30	O	_
31	Gregorio	_	_	_	_	21	conj	_	_	31	O	_
32	Fontana	_	_	_	_	31	flat:name	_	_	32	O	_
33	,	_	_	_	_	34	punct	_	_	33	O	_
34	Franceschini	_	_	_	_	21	conj	_	_	34	O	_
35	,	_	_	_	_	36	punct	_	_	35	O	_
36	Gentiloni	_	_	_	_	31	conj	_	_	36	O	_
37	Silveri	_	_	_	_	31	flat:name	_	_	37	O	_
38	,	_	_	_	_	39	punct	_	_	38	O	_
39	Giacomelli	_	_	_	_	21	conj	_	_	39	O	_
40	,	_	_	_	_	41	punct	_	_	40	O	_
41	Lotti	_	_	_	_	21	conj	_	_	41	O	_
42	,	_	_	_	_	43	punct	_	_	42	O	_
43	Orlando	_	_	_	_	21	conj	_	_	43	O	_
44	e	_	_	_	_	45	cc	_	_	44	O	_
45	Pizzetti	_	_	_	_	21	conj	_	_	45	O	_
46	sono	_	_	_	_	48	cop	_	_	46	O	_
47	in	_	_	_	_	48	case	_	_	47	O	_
48	missione	_	_	_	_	1	ccomp	_	_	48	O	_
49	a	_	_	_	_	50	mark	_	_	49	O	_
50	decorrere	_	_	_	_	48	advcl	_	_	50	O	_
51-52	dalla	_	_	_	_	_	_	_	_	_	_	_
51	da	_	_	_	_	53	case	_	_	51	O	_
52	la	_	_	_	_	53	det	_	_	52	O	_
53	seduta	_	_	_	_	50	obl	_	_	53	O	_
54	odierna	_	_	_	_	53	amod	_	_	54	O	_
55	.	_	_	_	_	1	punct	_	_	55	O	_
# sent_id = 2												
# text = I deputati in missione sono complessivamente quindici, come risulta dall'elenco depositato presso la Presidenza e che sarà pubblicato nell' allegato A al resoconto della seduta odierna (Ulteriori comunicazioni all'Assemblea saranno pubblicate nell'allegato A al resoconto della seduta odierna).												
1	I	_	_	_	_	2	det	_	_	56	O	_
2	deputati	_	_	_	_	7	nsubj	_	_	57	O	_
3	in	_	_	_	_	4	case	_	_	58	O	_
4	missione	_	_	_	_	2	nmod	_	_	59	O	_
5	sono	_	_	_	_	7	cop	_	_	60	O	_
6	complessivamente	_	_	_	_	7	advmod	_	_	61	O	_
7	quindici	_	_	_	_	0	root	_	_	62	O	_
8	,	_	_	_	_	7	punct	_	_	63	O	_
9	come	_	_	_	_	10	mark	_	_	64	O	_
10	risulta	_	_	_	_	7	advcl	_	_	65	O	_
11-12	dall'	_	_	_	_	_	_	_	_	_	_	_
11	da	_	_	_	_	13	case	_	_	66	O	_
12	l'	_	_	_	_	13	det	_	_	67	O	_
13	elenco	_	_	_	_	10	obl	_	_	68	O	_
14	depositato	_	_	_	_	13	acl	_	_	69	O	_
15	presso	_	_	_	_	17	case	_	_	70	O	_
16	la	_	_	_	_	17	det	_	_	71	O	_
17	Presidenza	_	_	_	_	14	obl	_	_	72	O	_
18	e	_	_	_	_	21	cc	_	_	73	O	_
19	che	_	_	_	_	21	nsubj:pass	_	_	74	O	_
20	sarà	_	_	_	_	21	aux:pass	_	_	75	O	_
21	pubblicato	_	_	_	_	14	conj	_	_	76	O	_
22-23	nell'	_	_	_	_	_	_	_	_	_	_	_
22	in	_	_	_	_	24	case	_	_	77	O	_
23	l'	_	_	_	_	24	det	_	_	78	O	_
24	allegato	_	_	_	_	21	obl	_	_	79	O	_
25	A	_	_	_	_	24	nummod	_	_	80	O	_
26-27	al	_	_	_	_	_	_	_	_	_	_	_
26	a	_	_	_	_	28	case	_	_	81	O	_
27	il	_	_	_	_	28	det	_	_	82	O	_
28	resoconto	_	_	_	_	24	nmod	_	_	83	O	_
29-30	della	_	_	_	_	_	_	_	_	_	_	_
29	di	_	_	_	_	31	case	_	_	84	O	_
30	la	_	_	_	_	31	det	_	_	85	O	_
31	seduta	_	_	_	_	28	nmod	_	_	86	O	_
32	odierna	_	_	_	_	31	amod	_	_	87	O	_
33	(	_	_	_	_	40	punct	_	_	88	DESCR.	DESCR.
34	Ulteriori	_	_	_	_	35	amod	_	_	89	DESCR.	DESCR.
