ID	FORM	LEMMA	CPOS	POS	FEATS	HEAD	DEPREL	PHEAD	PDEPREL	CUE_NEG	SCOPE_NEG	CUE_SPEC	SCOPE_SPEC
# legislatura="18" numero="6" anno="2018" mese="04" giorno="17" ramo="camera"
# INTERVENTO NUMERO 0
# id="tit00000.int00010" cognomeNome="SIBILIA Carlo"
# sent_id = 1
# text = Segretario, legge il processo verbale della seduta del 10 aprile 2018.
1	Segretario	_	_	_	_	3	vocative	_	_	DESCR.	DESCR.	DESCR.	DESCR.
2	,	_	_	_	_	1	punct	_	_	DESCR.	DESCR.	DESCR.	DESCR.
3	legge	_	_	_	_	0	root	_	_	DESCR.	DESCR.	DESCR.	DESCR.
4	il	_	_	_	_	5	det	_	_	DESCR.	DESCR.	DESCR.	DESCR.
5	processo	_	_	_	_	3	obj	_	_	DESCR.	DESCR.	DESCR.	DESCR.
6	verbale	_	_	_	_	5	amod	_	_	DESCR.	DESCR.	DESCR.	DESCR.
7-8	della	_	_	_	_	_	_	_	_	_	_	_	_
7	di	_	_	_	_	9	case	_	_	DESCR.	DESCR.	DESCR.	DESCR.
8	la	_	_	_	_	9	det	_	_	DESCR.	DESCR.	DESCR.	DESCR.
9	seduta	_	_	_	_	5	nmod	_	_	DESCR.	DESCR.	DESCR.	DESCR.
10-11	del	_	_	_	_	_	_	_	_	_	_	_	_
10	di	_	_	_	_	12	case	_	_	DESCR.	DESCR.	DESCR.	DESCR.
11	il	_	_	_	_	12	det	_	_	DESCR.	DESCR.	DESCR.	DESCR.
12	10	_	_	_	_	9	nmod	_	_	DESCR.	DESCR.	DESCR.	DESCR.
13	aprile	_	_	_	_	12	flat	_	_	DESCR.	DESCR.	DESCR.	DESCR.
14	2018	_	_	_	_	12	flat	_	_	DESCR.	DESCR.	DESCR.	DESCR.
15	.	_	_	_	_	3	punct	_	_	DESCR.	DESCR.	DESCR.	DESCR.
# Titolo per i prossimi 1 interventi: Missioni.
# INTERVENTO NUMERO 1
# id="tit00010.int00010" cognomeNome="FICO Roberto" nominativo="PRESIDENTE"
# sent_id = 1
# text = Comunico che, ai sensi dell'articolo 46, comma 2, del Regolamento, i deputati Boschi, Cirielli, De Micheli, Ferri, Gregorio Fontana, Franceschini, Giacomelli, Lotti, Picchi e Pizzetti sono in missione a decorrere dalla seduta odierna.
1	Comunico	_	_	_	_	0	root	_	_	O	_	O	_
2	che	_	_	_	_	44	mark	_	_	O	_	O	_
3	,	_	_	_	_	44	punct	_	_	O	_	O	_
4-5	ai	_	_	_	_	_	_	_	_	_	_	_	_
4	a	_	_	_	_	6	case	_	_	O	_	O	_
5	i	_	_	_	_	6	det	_	_	O	_	O	_
6	sensi	_	_	_	_	44	obl	_	_	O	_	O	_
7-8	dell'	_	_	_	_	_	_	_	_	_	_	_	_
7	di	_	_	_	_	9	case	_	_	O	_	O	_
8	l'	_	_	_	_	9	det	_	_	O	_	O	_
9	articolo	_	_	_	_	6	nmod	_	_	O	_	O	_
10	46	_	_	_	_	9	nummod	_	_	O	_	O	_
11	,	_	_	_	_	9	punct	_	_	O	_	O	_
12	comma	_	_	_	_	9	nmod	_	_	O	_	O	_
13	2	_	_	_	_	12	nummod	_	_	O	_	O	_
14	,	_	_	_	_	9	punct	_	_	O	_	O	_
15-16	del	_	_	_	_	_	_	_	_	_	_	_	_
15	di	_	_	_	_	17	case	_	_	O	_	O	_
16	il	_	_	_	_	17	det	_	_	O	_	O	_
17	Regolamento	_	_	_	_	9	nmod	_	_	O	_	O	_
18	,	_	_	_	_	6	punct	_	_	O	_	O	_
19	i	_	_	_	_	20	det	_	_	O	_	O	_
20	deputati	_	_	_	_	44	nsubj	_	_	O	_	O	_
21	Boschi	_	_	_	_	20	nmod	_	_	O	_	O	_
22	,	_	_	_	_	23	punct	_	_	O	_	O	_
23	Cirielli	_	_	_	_	21	conj	_	_	O	_	O	_
24	,	_	_	_	_	25	punct	_	_	O	_	O	_
25	De	_	_	_	_	21	conj	_	_	O	_	O	_
26	Micheli	_	_	_	_	25	flat:name	_	_	O	_	O	_
27	,	_	_	_	_	28	punct	_	_	O	_	O	_
28	Ferri	_	_	_	_	21	conj	_	_	O	_	O	_
29	,	_	_	_	_	30	punct	_	_	O	_	O	_
30	Gregorio	_	_	_	_	21	conj	_	_	O	_	O	_
31	Fontana	_	_	_	_	30	flat:name	_	_	O	_	O	_
32	,	_	_	_	_	33	punct	_	_	O	_	O	_
33	Franceschini	_	_	_	_	21	conj	_	_	O	_	O	_
34	,	_	_	_	_	35	punct	_	_	O	_	O	_
35	Giacomelli	_	_	_	_	21	conj	_	_	O	_	O	_
36	,	_	_	_	_	37	punct	_	_	O	_	O	_
37	Lotti	_	_	_	_	21	conj	_	_	O	_	O	_
38	,	_	_	_	_	39	punct	_	_	O	_	O	_
39	Picchi	_	_	_	_	21	conj	_	_	O	_	O	_
40	e	_	_	_	_	41	cc	_	_	O	_	O	_
41	Pizzetti	_	_	_	_	21	conj	_	_	O	_	O	_
42	sono	_	_	_	_	44	cop	_	_	O	_	O	_
43	in	_	_	_	_	44	case	_	_	O	_	O	_
44	missione	_	_	_	_	1	ccomp	_	_	O	_	O	_
45	a	_	_	_	_	46	mark	_	_	O	_	O	_
46	decorrere	_	_	_	_	44	advcl	_	_	O	_	O	_
47-48	dalla	_	_	_	_	_	_	_	_	_	_	_	_
47	da	_	_	_	_	49	case	_	_	O	_	O	_
48	la	_	_	_	_	49	det	_	_	O	_	O	_
49	seduta	_	_	_	_	46	obl	_	_	O	_	O	_
50	odierna	_	_	_	_	49	amod	_	_	O	_	O	_
51	.	_	_	_	_	1	punct	_	_	O	_	O	_
# sent_id = 2
