ID	FORM	LEMMA	CPOS	POS	FEATS	HEAD	DEPREL	PHEAD	PDEPREL	CUE_NEG	SCOPE_NEG	CUE_SPEC	SCOPE_SPEC
# legislatura="18" numero="4" anno="2018" mese="04" giorno="10" ramo="camera"
# INTERVENTO NUMERO 0
# id="tit00000.int00010" cognomeNome="FICO Roberto" nominativo="PRESIDENTE"
# sent_id = 1
# text = La seduta è aperta.
1	La	_	_	_	_	2	det	_	_	O	_	O	_
2	seduta	_	_	_	_	4	nsubj	_	_	O	_	O	_
3	è	_	_	_	_	4	cop	_	_	O	_	O	_
4	aperta	_	_	_	_	0	root	_	_	O	_	O	_
5	.	_	_	_	_	4	punct	_	_	O	_	O	_
# sent_id = 2
# text = Invito la deputata segretaria a dare lettura del processo verbale della seduta precedente.
1	Invito	_	_	_	_	0	root	_	_	O	_	O	_
2	la	_	_	_	_	4	det	_	_	O	_	O	_
3	deputata	_	_	_	_	4	amod	_	_	O	_	O	_
4	segretaria	_	_	_	_	1	obj	_	_	O	_	O	_
5	a	_	_	_	_	6	mark	_	_	O	_	O	_
6	dare	_	_	_	_	1	xcomp	_	_	O	_	O	_
7	lettura	_	_	_	_	6	obj	_	_	O	_	O	_
8-9	del	_	_	_	_	_	_	_	_	_	_	_	_
8	di	_	_	_	_	10	case	_	_	O	_	O	_
9	il	_	_	_	_	10	det	_	_	O	_	O	_
10	processo	_	_	_	_	7	nmod	_	_	O	_	O	_
11	verbale	_	_	_	_	10	amod	_	_	O	_	O	_
12-13	della	_	_	_	_	_	_	_	_	_	_	_	_
12	di	_	_	_	_	14	case	_	_	O	_	O	_
13	la	_	_	_	_	14	det	_	_	O	_	O	_
14	seduta	_	_	_	_	10	nmod	_	_	O	_	O	_
15	precedente	_	_	_	_	14	amod	_	_	O	_	O	_
16	.	_	_	_	_	1	punct	_	_	O	_	O	_
# INTERVENTO NUMERO 1
# id="tit00000.int00020" cognomeNome="CANCELLERI Azzurra Pia Maria"
# sent_id = 1
# text = Segretaria, legge il processo verbale della seduta del 3 aprile 2018.
1	Segretaria	_	_	_	_	3	nsubj	_	_	DESCR.	DESCR.	DESCR.	DESCR.
2	,	_	_	_	_	1	punct	_	_	DESCR.	DESCR.	DESCR.	DESCR.
3	legge	_	_	_	_	0	root	_	_	DESCR.	DESCR.	DESCR.	DESCR.
4	il	_	_	_	_	5	det	_	_	DESCR.	DESCR.	DESCR.	DESCR.
5	processo	_	_	_	_	3	obj	_	_	DESCR.	DESCR.	DESCR.	DESCR.
6	verbale	_	_	_	_	5	amod	_	_	DESCR.	DESCR.	DESCR.	DESCR.
7-8	della	_	_	_	_	_	_	_	_	_	_	_	_
7	di	_	_	_	_	9	case	_	_	DESCR.	DESCR.	DESCR.	DESCR.
8	la	_	_	_	_	9	det	_	_	DESCR.	DESCR.	DESCR.	DESCR.
9	seduta	_	_	_	_	5	nmod	_	_	DESCR.	DESCR.	DESCR.	DESCR.
10-11	del	_	_	_	_	_	_	_	_	_	_	_	_
10	di	_	_	_	_	12	case	_	_	DESCR.	DESCR.	DESCR.	DESCR.
11	il	_	_	_	_	12	det	_	_	DESCR.	DESCR.	DESCR.	DESCR.
12	3	_	_	_	_	9	nmod	_	_	DESCR.	DESCR.	DESCR.	DESCR.
13	aprile	_	_	_	_	12	flat	_	_	DESCR.	DESCR.	DESCR.	DESCR.
14	2018	_	_	_	_	12	flat	_	_	DESCR.	DESCR.	DESCR.	DESCR.
15	.	_	_	_	_	3	punct	_	_	DESCR.	DESCR.	DESCR.	DESCR.
# INTERVENTO NUMERO 2
# id="tit00000.int00030" cognomeNome="FICO Roberto" nominativo="PRESIDENTE"
# sent_id = 1
# text = Se non vi sono osservazioni, il processo verbale si intende approvato.
1	Se	_	_	_	_	4	mark	_	_	O	_	O	_
2	non	_	_	_	_	4	advmod	_	_	BN	_	O	_
3	vi	_	_	_	_	4	expl	_	_	O	2	O	_
4	sono	_	_	_	_	11	advcl	_	_	O	2	O	_
5	osservazioni	_	_	_	_	4	nsubj	_	_	O	2	O	_
6	,	_	_	_	_	4	punct	_	_	O	_	O	_
7	il	_	_	_	_	8	det	_	_	O	_	O	_
8	processo	_	_	_	_	11	nsubj:pass	_	_	O	_	O	_
9	verbale	_	_	_	_	8	amod	_	_	O	_	O	_
10	si	_	_	_	_	11	expl:pass	_	_	O	_	O	_
11	intende	_	_	_	_	0	root	_	_	O	_	O	_
12	approvato	_	_	_	_	11	xcomp	_	_	O	_	O	_
13	.	_	_	_	_	11	punct	_	_	O	_	O	_
# sent_id = 2
# text = (È approvato).
1	(	_	_	_	_	3	punct	_	_	DESCR.	DESCR.	DESCR.	DESCR.
2	È	_	_	_	_	3	aux:pass	_	_	DESCR.	DESCR.	DESCR.	DESCR.
3	approvato	_	_	_	_	0	root	_	_	DESCR.	DESCR.	DESCR.	DESCR.
4	)	_	_	_	_	3	punct	_	_	DESCR.	DESCR.	DESCR.	DESCR.
5	.	_	_	_	_	3	punct	_	_	DESCR.	DESCR.	DESCR.	DESCR.
# Titolo per i prossimi 1 interventi: Missioni.
# INTERVENTO NUMERO 3
# id="tit00010.int00010" cognomeNome="FICO Roberto" nominativo="PRESIDENTE"
# sent_id = 1
# text = Comunico che, ai sensi dell'articolo 46, comma 2, del Regolamento, i deputati Boschi, Cirielli, De Menech, De Micheli, Gregorio Fontana, Franceschini, Gentiloni Silveri, Giacomelli, Lotti, Orlando e Pizzetti sono in missione a decorrere dalla seduta odierna.
1	Comunico	_	_	_	_	0	root	_	_	O	_	O	_
2	che	_	_	_	_	48	mark	_	_	O	_	O	_
3	,	_	_	_	_	48	punct	_	_	O	_	O	_
4-5	ai	_	_	_	_	_	_	_	_	_	_	_	_
4	a	_	_	_	_	6	case	_	_	O	_	O	_
5	i	_	_	_	_	6	det	_	_	O	_	O	_
6	sensi	_	_	_	_	48	obl	_	_	O	_	O	_
7-8	dell'	_	_	_	_	_	_	_	_	_	_	_	_
7	di	_	_	_	_	9	case	_	_	O	_	O	_
8	l'	_	_	_	_	9	det	_	_	O	_	O	_
9	articolo	_	_	_	_	6	nmod	_	_	O	_	O	_
10	46	_	_	_	_	9	nummod	_	_	O	_	O	_
11	,	_	_	_	_	9	punct	_	_	O	_	O	_
12	comma	_	_	_	_	9	nmod	_	_	O	_	O	_
13	2	_	_	_	_	12	nummod	_	_	O	_	O	_
14	,	_	_	_	_	9	punct	_	_	O	_	O	_
15-16	del	_	_	_	_	_	_	_	_	_	_	_	_
15	di	_	_	_	_	17	case	_	_	O	_	O	_
16	il	_	_	_	_	17	det	_	_	O	_	O	_
17	Regolamento	_	_	_	_	9	nmod	_	_	O	_	O	_
18	,	_	_	_	_	6	punct	_	_	O	_	O	_
19	i	_	_	_	_	20	det	_	_	O	_	O	_
20	deputati	_	_	_	_	48	nsubj	_	_	O	_	O	_
21	Boschi	_	_	_	_	20	nmod	_	_	O	_	O	_
22	,	_	_	_	_	23	punct	_	_	O	_	O	_
23	Cirielli	_	_	_	_	21	conj	_	_	O	_	O	_
24	,	_	_	_	_	25	punct	_	_	O	_	O	_
25	De	_	_	_	_	21	conj	_	_	O	_	O	_
26	Menech	_	_	_	_	25	flat:name	_	_	O	_	O	_
27	,	_	_	_	_	28	punct	_	_	O	_	O	_
28	De	_	_	_	_	21	conj	_	_	O	_	O	_
29	Micheli	_	_	_	_	28	flat:name	_	_	O	_	O	_
30	,	_	_	_	_	31	punct	_	_	O	_	O	_
31	Gregorio	_	_	_	_	21	conj	_	_	O	_	O	_
32	Fontana	_	_	_	_	31	flat:name	_	_	O	_	O	_
33	,	_	_	_	_	34	punct	_	_	O	_	O	_
34	Franceschini	_	_	_	_	21	conj	_	_	O	_	O	_
35	,	_	_	_	_	36	punct	_	_	O	_	O	_
36	Gentiloni	_	_	_	_	31	conj	_	_	O	_	O	_
37	Silveri	_	_	_	_	31	flat:name	_	_	O	_	O	_
38	,	_	_	_	_	39	punct	_	_	O	_	O	_
39	Giacomelli	_	_	_	_	21	conj	_	_	O	_	O	_
40	,	_	_	_	_	41	punct	_	_	O	_	O	_
41	Lotti	_	_	_	_	21	conj	_	_	O	_	O	_
42	,	_	_	_	_	43	punct	_	_	O	_	O	_
43	Orlando	_	_	_	_	21	conj	_	_	O	_	O	_
44	e	_	_	_	_	45	cc	_	_	O	_	O	_
45	Pizzetti	_	_	_	_	21	conj	_	_	O	_	O	_
46	sono	_	_	_	_	48	cop	_	_	O	_	O	_
47	in	_	_	_	_	48	case	_	_	O	_	O	_
48	missione	_	_	_	_	1	ccomp	_	_	O	_	O	_
49	a	_	_	_	_	50	mark	_	_	O	_	O	_
50	decorrere	_	_	_	_	48	advcl	_	_	O	_	O	_
51-52	dalla	_	_	_	_	_	_	_	_	_	_	_	_
51	da	_	_	_	_	53	case	_	_	O	_	O	_
52	la	_	_	_	_	53	det	_	_	O	_	O	_
53	seduta	_	_	_	_	50	obl	_	_	O	_	O	_
54	odierna	_	_	_	_	53	amod	_	_	O	_	O	_
55	.	_	_	_	_	1	punct	_	_	O	_	O	_
# sent_id = 2
# text = I deputati in missione sono complessivamente quindici, come risulta dall'elenco depositato presso la Presidenza e che sarà pubblicato nell' allegato A al resoconto della seduta odierna (Ulteriori comunicazioni all'Assemblea saranno pubblicate nell'allegato A al resoconto della seduta odierna).
1	I	_	_	_	_	2	det	_	_	O	_	O	_
2	deputati	_	_	_	_	7	nsubj	_	_	O	_	O	_
3	in	_	_	_	_	4	case	_	_	O	_	O	_
4	missione	_	_	_	_	2	nmod	_	_	O	_	O	_
5	sono	_	_	_	_	7	cop	_	_	O	_	O	_
6	complessivamente	_	_	_	_	7	advmod	_	_	O	_	O	_
7	quindici	_	_	_	_	0	root	_	_	O	_	O	_
8	,	_	_	_	_	7	punct	_	_	O	_	O	_
9	come	_	_	_	_	10	mark	_	_	O	_	O	_
10	risulta	_	_	_	_	7	advcl	_	_	O	_	O	_
11-12	dall'	_	_	_	_	_	_	_	_	_	_	_	_
11	da	_	_	_	_	13	case	_	_	O	_	O	_
12	l'	_	_	_	_	13	det	_	_	O	_	O	_
13	elenco	_	_	_	_	10	obl	_	_	O	_	O	_
14	depositato	_	_	_	_	13	acl	_	_	O	_	O	_
15	presso	_	_	_	_	17	case	_	_	O	_	O	_
16	la	_	_	_	_	17	det	_	_	O	_	O	_
17	Presidenza	_	_	_	_	14	obl	_	_	O	_	O	_
18	e	_	_	_	_	21	cc	_	_	O	_	O	_
19	che	_	_	_	_	21	nsubj:pass	_	_	O	_	O	_
20	sarà	_	_	_	_	21	aux:pass	_	_	O	_	O	_
21	pubblicato	_	_	_	_	14	conj	_	_	O	_	O	_
22-23	nell'	_	_	_	_	_	_	_	_	_	_	_	_
