ID	FORM	LEMMA	CPOS	POS	FEATS	HEAD	DEPREL	PHEAD	PDEPREL	ID_TOKEN_NELL_INTERVENTO	CUE	SCOPE
# legislatura="18" numero="8" anno="2018" mese="05" giorno="07" ramo="camera"
# INTERVENTO NUMERO 0
# id="tit00000.int00010" cognomeNome="FICO Roberto" nominativo="PRESIDENTE"
# sent_id = 1
# text = La seduta è aperta.
1	La	_	_	_	_	2	det	_	_	1	O	_
2	seduta	_	_	_	_	4	nsubj	_	_	2	O	_
3	è	_	_	_	_	4	cop	_	_	3	O	_
4	aperta	_	_	_	_	0	root	_	_	4	O	_
5	.	_	_	_	_	4	punct	_	_	5	O	_
# sent_id = 2
# text = Invito il deputato segretario a dare lettura del processo verbale della seduta precedente.
1	Invito	_	_	_	_	0	root	_	_	6	O	_
2	il	_	_	_	_	3	det	_	_	7	O	_
3	deputato	_	_	_	_	1	obj	_	_	8	O	_
4	segretario	_	_	_	_	3	compound	_	_	9	O	_
5	a	_	_	_	_	6	mark	_	_	10	O	_
6	dare	_	_	_	_	1	xcomp	_	_	11	O	_
7	lettura	_	_	_	_	6	obj	_	_	12	O	_
8-9	del	_	_	_	_	_	_	_	_	_	_	_
8	di	_	_	_	_	10	case	_	_	13	O	_
9	il	_	_	_	_	10	det	_	_	14	O	_
10	processo	_	_	_	_	7	nmod	_	_	15	O	_
11	verbale	_	_	_	_	10	amod	_	_	16	O	_
12-13	della	_	_	_	_	_	_	_	_	_	_	_
12	di	_	_	_	_	14	case	_	_	17	O	_
13	la	_	_	_	_	14	det	_	_	18	O	_
14	seduta	_	_	_	_	10	nmod	_	_	19	O	_
15	precedente	_	_	_	_	14	amod	_	_	20	O	_
16	.	_	_	_	_	1	punct	_	_	21	O	_
# INTERVENTO NUMERO 1
# id="tit00000.int00020" cognomeNome="SCOMA Francesco"
# sent_id = 1
# text = Segretario, legge il processo verbale della seduta del 18 aprile 2018.
1	Segretario	_	_	_	_	3	vocative	_	_	1	DESCR.	DESCR.
2	,	_	_	_	_	1	punct	_	_	2	DESCR.	DESCR.
3	legge	_	_	_	_	0	root	_	_	3	DESCR.	DESCR.
